Post Source;Post URL;Username;Comment;clean_text
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;pedestrianjogja;😂;
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;hanbe.eky;bangga sekali kita memiliki pemimpin kota seperti beliau beliau wkwk;bangga memiliki pemimpin kota beliau beliau wkwk
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;rickysyafaadnz;ancen ga beres😂;ancen ga beres
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;azaenal22;Epok epok;epok epok
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;atameemz;kandani sing bener ancen milih kotak kosong wingi #EriEpokEpok;kandani bener ancen milih kotak kosong wingi
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;charactercheck45;ikan bosok dari kepala. dan Eriii bosok;ikan bosok kepala eriii bosok
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;firsttianyogab;3L resmi undur diri diganti wira wiri sing lewat kutisari. Tmbah ruwweettt😂;l resmi undur diganti wira wiri kutisari tmbah ruwweettt
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;peopleonmotion;kebacut @dishubsurabaya @cakj1 @ericahyadi_;kebacut
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;revtels;mosok kalah karo semarang owalah pemkot oh pemkot😂😂😂;mosok kalah semarang owalah pemkot oh pemkot
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;teguhlies;Wedi dadi ricuh sby pas taun baru, wes paling enak gk onok opo² trus ditinggal turu ae karo walikotane 😂;wedi dadi ricuh sby pas taun wes enak gk onok opo trus ditinggal turu ae walikotane
Dishub;https://www.instagram.com/p/DS6_hwUE6-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;mrsleejihoon;@ericahyadi_ pak gimana niu;gimana niu
